Requirement ID,Source,Section,Requirement Summary,Domain,Expected Component,Actual Code Evidence,Registration Path,Persistence Evidence,Static Code Status,Unit Test Status,Integration Test Status,Runtime Test Status,Final Status
AUD-MST-ARCH-001,Master Architecture,Sec 2,Core engine must use Rust via Tauri React UI and Grammers MTProto,Architecture,frontend/src-tauri,src/core/grammers_ops/mod.rs,lib.rs,SQLite sessions,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-ARCH-002,Master Architecture,Sec 2,Process-wide Grammers MTProto client runtime singleton,Architecture,session_auth.rs,src/core/grammers_ops/session_auth.rs,lib.rs,SQLite sessions,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-SEC-001,Master Architecture,Sec 4,Telegram session auth key encryption at rest,Security,session_auth.rs,src/core/grammers_ops/session_auth.rs,lib.rs,Local Disk,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-SEC-002,Master Architecture,Sec 4,Session directory path non-empty requirement,Security,session_auth.rs,src/core/grammers_ops/session_auth.rs,lib.rs,Local Disk,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-SEC-003,Master Architecture,Sec 4,Session file access blocking in path policy (.session .key),Security,path_policy.rs,src/core/path_policy.rs,lib.rs,Local Disk,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-SEC-004,Master Architecture,Sec 4,Atomic owner-scoped session lease locks,Security,session_guard.rs,src/core/session_guard.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-SEC-005,Master Architecture,Sec 4,Identity-safe account label redacting phone & API hash,Security,telegram_ops.rs,src/core/telegram_ops.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-SEC-006,Master Architecture,Sec 4,Log redactor stripping api_hash assignments,Security,tg_log.rs,src/core/tg_log.rs,lib.rs,Log Files,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-SEC-007,Master Architecture,Sec 4,Log session label basename stripping,Security,tg_log.rs,src/core/tg_log.rs,lib.rs,Log Files,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-DUP-001,Master Architecture,Sec 5,Clean copy duplicate check L1: Message ID,Duplicate Check,dup_checker.rs,src/core/dup_checker.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-DUP-002,Master Architecture,Sec 5,Clean copy duplicate check L2 & L3: Telegram Unique ID and SHA256 Hash,Duplicate Check,dup_checker.rs,src/core/dup_checker.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-DUP-003,Master Architecture,Sec 5,Clean copy duplicate check L4: Filename + Size,Duplicate Check,dup_checker.rs,src/core/dup_checker.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-MST-MIG-001,Master Architecture,Sec 6,Import session from synthetic Telethon SQLite DB,Migration,telethon_session_import.rs,src/core/telethon_session_import.rs,lib.rs,SQLite sessions,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-MIG-002,Master Architecture,Sec 6,Migration distinct destination path requirement,Migration,telethon_session_import.rs,src/core/telethon_session_import.rs,lib.rs,SQLite sessions,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-NET-001,Master Architecture,Sec 7,Clamped VPN MTU & timeout bounds,Network,network.rs,src/core/network.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-MST-NET-002,Master Architecture,Sec 7,HTTP/SOCKS5 proxy environment detection,Network,network.rs,src/core/network.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-ORIG-001,Spec v4.1,Sec 1.1,ORIGINAL policy byte preservation (0% byte change no remux/transcode),Quality Engine,quality.rs,src/core/autogram_core/transfer/quality.rs,media_prep.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V41-ORIG-002,Spec v4.1,Sec 1.1,ORIGINAL policy preflight transform == None constraint,Quality Engine,preflight.rs,src/core/autogram_core/transfer/preflight.rs,studio_orch.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-ORIG-003,Spec v4.1,Sec 1.1,ORIGINAL policy payload class is always OriginalDocumentBatch,Quality Engine,quality.rs,src/core/autogram_core/transfer/quality.rs,media_prep.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-HQ-001,Spec v4.1,Sec 1.1,HQ mode lossless-first remux container before lossy transcode,Quality Engine,media_prep.rs,src/core/media_prep.rs,studio_orch.rs,SQLite transfers,Partial,Unverified,Unverified,Blocked,PARTIAL
AUD-V41-SMART-001,Spec v4.1,Sec 1.1,SMART mode feasibility-first candidate generator & ranker,Quality Engine,media_prep.rs,src/core/media_prep.rs,studio_orch.rs,SQLite transfers,Partial,Pass,Partial,Blocked,PARTIAL
AUD-V41-SMART-002,Spec v4.1,Sec 1.1,Target size bitrate estimator reserving audio & quality floor,Quality Engine,media_prep.rs,src/core/media_prep.rs,studio_orch.rs,SQLite transfers,Partial,Pass,Partial,Blocked,PARTIAL
AUD-V41-CAP-001,Spec v4.1,Sec 2.3,Dynamic runtime capability from appConfig max_parts & part size,Quality Engine,capability.rs,src/core/autogram_core/telegram/account/capability.rs,lib.rs,SQLite rate_gates,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V41-PRE-001,Spec v4.1,Sec 4.5,Preflight approval blocks queueing on warnings,Quality Engine,preflight.rs,src/core/autogram_core/transfer/preflight.rs,studio_orch.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-PRE-002,Spec v4.1,Sec 4.4,Stable reason code enums for candidate selection and rejection,Quality Engine,preflight.rs,src/core/autogram_core/transfer/preflight.rs,studio_orch.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-FLAG-001,Spec v4.1,Sec 4.6,Feature flags parser accepting operational spellings,Quality Engine,feature_flags.rs,src/core/autogram_core/transfer/feature_flags.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-FLAG-002,Spec v4.1,Sec 4.6,Safe rollback disables dependent features atomically,Quality Engine,feature_flags.rs,src/core/autogram_core/transfer/feature_flags.rs,lib.rs,Memory,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V41-CLEAN-001,Spec v4.1,Sec 4.7,Prepared temp artifact cleanup removes intermediate stages,Quality Engine,media_prep.rs,src/core/media_prep.rs,studio_orch.rs,Local Disk,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V43-FMT-001,Spec v4.3,Sec 5.2,Universal file router classifies media into format family categories,Universal File,media_classifier.rs,src/core/media_classifier.rs,lib.rs,IndexedDB,Partial,Pass,Partial,Blocked,PARTIAL
AUD-V43-FMT-002,Spec v4.3,Sec 5.3,Office archive executable database CAD scientific files never mutated,Universal File,quality.rs,src/core/autogram_core/transfer/quality.rs,media_prep.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V43-DIR-001,Spec v4.3,Sec 5.4,Folder tree relative path preservation in batch upload,Universal File,studio_orch.rs,src/core/studio_orch.rs,lib.rs,SQLite jobs,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V43-REM-001,Spec v4.3,Sec 5.5,Remote URL input validated for security MIME size before routing,Universal File,preflight.rs,src/core/autogram_core/transfer/preflight.rs,studio_orch.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V43-FALL-001,Spec v4.3,Sec 5.6,Unknown input falls back to safe GenericDocument or block,Universal File,quality.rs,src/core/autogram_core/transfer/quality.rs,media_prep.rs,SQLite transfers,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V43-THUMB-001,Spec v4.3,Sec 5.7,Fast image thumbnail batching gated by FFmpeg availability,Universal File,thumbs.rs,src/core/grammers/thumbs.rs,lib.rs,Memory Cache,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V44-SPLIT-001,Spec v4.4,Sec 4.1,Raw byte binary volume split into agpart volumes,Oversize,binary_volume_split.rs,src/core/autogram_core/execution/split_engine/binary_volume_split.rs,lib.rs,Local Disk,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V44-SPLIT-002,Spec v4.4,Sec 4.2,Split manifest builder creating PowerShell and Bash merge scripts,Oversize,manifest_builder.rs,src/core/autogram_core/execution/split_engine/manifest_builder.rs,lib.rs,Manifest JSON,Complete,Pass,Pass,N/A,VERIFIED_PASS
AUD-V44-SPLIT-003,Spec v4.4,Sec 4.2,Python POSIX and Android merge script generation,Oversize,manifest_builder.rs,src/core/autogram_core/execution/split_engine/manifest_builder.rs,lib.rs,Manifest JSON,Partial,Unverified,Unverified,Blocked,PARTIAL
AUD-V44-ACCT-001,Spec v4.4,Sec 4.3,Alternate account selector validating destination topic rights & capacity,Oversize,router.rs,src/core/autogram_core/telegram/account/router.rs,lib.rs,SQLite accounts,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V44-SKIP-001,Spec v4.4,Sec 4.4,Skip action creates audit record and retry path,Oversize,studio_orch.rs,src/core/studio_orch.rs,lib.rs,SQLite jobs,Partial,Unverified,Unverified,Blocked,CODE_PRESENT_UNVERIFIED
AUD-V45-RATE-001,Spec v4.5,Sec 3.3,Smart Rate Controller & FloodWait deadline persistence,Transfer Manager,session_rate.rs,src/core/session_rate.rs,lib.rs,SQLite rate_gates,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-QUEUE-001,Spec v4.5,Sec 3.1,Persistent paginated bounded-memory SQLite job queue,Transfer Manager,job_queue.rs,src/core/job_queue.rs,lib.rs,SQLite jobs,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-CONC-001,Spec v4.5,Sec 3.2,Concurrency limits separated across prep file part and DC layers,Transfer Manager,session_rate.rs,src/core/session_rate.rs,lib.rs,Memory Semaphores,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-PAUSE-001,Spec v4.5,Sec 3.5,Pause resume and cancel operate only at safe boundaries,Transfer Manager,job_queue.rs,src/core/job_queue.rs,lib.rs,SQLite jobs,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-DL-001,Spec v4.5,Sec 3.6,Filename sanitizer blocking traversal & Windows reserved devices,Transfer Manager,download.rs,src/core/autogram_core/transfer/download.rs,lib.rs,Local Disk,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-DL-002,Spec v4.5,Sec 3.6,Partial download resume truncates unverified chunk tail,Transfer Manager,download.rs,src/core/autogram_core/transfer/download.rs,lib.rs,Local Disk,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V45-SCALE-001,Spec v4.5,Sec 3.7,Scale benchmark harness S0-S4 (1 to 100k items),Transfer Manager,media_bench.rs,src/core/media_bench.rs,lib.rs,Memory,Missing,Missing,Missing,Blocked,MISSING
AUD-V46-ALB-001,Spec v4.6,Sec 1.1,Grouped media supports 2-10 items (10 compatible items in 1 album),Album Orchestration,album.rs,src/core/autogram_core/transfer/album.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V46-ALB-002,Spec v4.6,Sec 1.1,Partition sizes rebalance 11 items to 9 + 2 avoiding single remainder,Album Orchestration,album.rs,src/core/autogram_core/transfer/album.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V46-ALB-003,Spec v4.6,Sec 4.1,Compatibility key incorporates account peer topic reply send_as payload,Album Orchestration,album.rs,src/core/autogram_core/transfer/album.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V46-CAP-001,Spec v4.6,Sec 4.2,Album summary caption moves to first surviving item on partial failure,Album Orchestration,caption.rs,src/core/autogram_core/transfer/caption.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V46-REC-001,Spec v4.6,Sec 4.3,Commit state machine handles UNKNOWN_COMMIT & reconciliation order,Album Orchestration,studio_orch.rs,src/core/studio_orch.rs,lib.rs,SQLite transfers,Partial,Unverified,Unverified,Blocked,CODE_PRESENT_UNVERIFIED
AUD-V46-FAIL-001,Spec v4.6,Sec 4.5,Album failure policies support atomic_strict & replan policies,Album Orchestration,album.rs,src/core/autogram_core/transfer/album.rs,lib.rs,SQLite transfers,Complete,Pass,Pass,Blocked,PARTIAL
AUD-V47-ENC-001,Spec v4.7,Sec 3.1,Physical GPU hardware discovery & L0-L6 capability probe,Encoder,encoder_detector.rs,src/core/autogram_core/hardware/encoder_detector.rs,lib.rs,Cache,Missing,Missing,Missing,Blocked,MISSING
AUD-V47-ENC-002,Spec v4.7,Sec 4.1,Transcode worker engine executes FFmpeg with encoder quality profile,Encoder,encoder.rs,src/core/autogram_core/execution/encoder.rs,lib.rs,N/A,Fail,Fail,Fail,Blocked,FAIL
AUD-V47-VAL-001,Spec v4.7,Sec 5.1,OutputContract validator checks container stream parity sync & quality,Encoder,media_prep.rs,src/core/media_prep.rs,lib.rs,N/A,Missing,Missing,Missing,Blocked,MISSING
AUD-V47-ADM-001,Spec v4.7,Sec 6.1,Resource admission controller evaluates VRAM CPU RAM thermal pressure,Encoder,hardware_capability.rs,src/core/hardware_capability.rs,lib.rs,N/A,Missing,Missing,Missing,Blocked,MISSING
AUD-V47-FALL-001,Spec v4.7,Sec 7.1,Encoder fallback decision recorded in decision receipt,Encoder,media_prep.rs,src/core/media_prep.rs,lib.rs,SQLite transfers,Fail,Fail,Fail,Blocked,FAIL
AUD-V42-CAT-001,Spec v4.2,Sec Catalog,Explicit Case Catalog validation,Test Catalog,N/A,N/A,N/A,N/A,Blocked,Blocked,Blocked,Blocked,BLOCKED
