Case ID,Parent Requirement ID,Document Source,Domain,Case Description,Expected Behavior,Implementation Evidence,Status
Spec v4.1::SHA-256,AUD-V41-ORIG-001,Spec v4.1,v4.1,Explicit specification requirement case SHA-256 extracted from Spec v4.1,System must enforce contract rules specified under SHA-256,src/core/autogram_core/,PARTIAL
Spec v4.3::SHA-256,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case SHA-256 extracted from Spec v4.3,System must enforce contract rules specified under SHA-256,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-001,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-001 extracted from Spec v4.3,System must enforce contract rules specified under CAP-001,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-002,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-002 extracted from Spec v4.3,System must enforce contract rules specified under CAP-002,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-003,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-003 extracted from Spec v4.3,System must enforce contract rules specified under CAP-003,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-004,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-004 extracted from Spec v4.3,System must enforce contract rules specified under CAP-004,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-005,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-005 extracted from Spec v4.3,System must enforce contract rules specified under CAP-005,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-006,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-006 extracted from Spec v4.3,System must enforce contract rules specified under CAP-006,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-007,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-007 extracted from Spec v4.3,System must enforce contract rules specified under CAP-007,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-008,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-008 extracted from Spec v4.3,System must enforce contract rules specified under CAP-008,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-009,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-009 extracted from Spec v4.3,System must enforce contract rules specified under CAP-009,src/core/autogram_core/,PARTIAL
Spec v4.3::CAP-010,AUD-V41-CAP-001,Spec v4.3,v4.3,Explicit specification requirement case CAP-010 extracted from Spec v4.3,System must enforce contract rules specified under CAP-010,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-001 extracted from Spec v4.3,System must enforce contract rules specified under IMG-001,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-002 extracted from Spec v4.3,System must enforce contract rules specified under IMG-002,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-003 extracted from Spec v4.3,System must enforce contract rules specified under IMG-003,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-004 extracted from Spec v4.3,System must enforce contract rules specified under IMG-004,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-005 extracted from Spec v4.3,System must enforce contract rules specified under IMG-005,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-006 extracted from Spec v4.3,System must enforce contract rules specified under IMG-006,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-007 extracted from Spec v4.3,System must enforce contract rules specified under IMG-007,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-008 extracted from Spec v4.3,System must enforce contract rules specified under IMG-008,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-009,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-009 extracted from Spec v4.3,System must enforce contract rules specified under IMG-009,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-010,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-010 extracted from Spec v4.3,System must enforce contract rules specified under IMG-010,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-011,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-011 extracted from Spec v4.3,System must enforce contract rules specified under IMG-011,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-012,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-012 extracted from Spec v4.3,System must enforce contract rules specified under IMG-012,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-013,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-013 extracted from Spec v4.3,System must enforce contract rules specified under IMG-013,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-014,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-014 extracted from Spec v4.3,System must enforce contract rules specified under IMG-014,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-015,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-015 extracted from Spec v4.3,System must enforce contract rules specified under IMG-015,src/core/autogram_core/,PARTIAL
Spec v4.3::IMG-016,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case IMG-016 extracted from Spec v4.3,System must enforce contract rules specified under IMG-016,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-001,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-001 extracted from Spec v4.3,System must enforce contract rules specified under VID-001,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-002,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-002 extracted from Spec v4.3,System must enforce contract rules specified under VID-002,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-003,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-003 extracted from Spec v4.3,System must enforce contract rules specified under VID-003,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-004,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-004 extracted from Spec v4.3,System must enforce contract rules specified under VID-004,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-005,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-005 extracted from Spec v4.3,System must enforce contract rules specified under VID-005,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-006,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-006 extracted from Spec v4.3,System must enforce contract rules specified under VID-006,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-007,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-007 extracted from Spec v4.3,System must enforce contract rules specified under VID-007,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-008,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-008 extracted from Spec v4.3,System must enforce contract rules specified under VID-008,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-009,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-009 extracted from Spec v4.3,System must enforce contract rules specified under VID-009,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-010,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-010 extracted from Spec v4.3,System must enforce contract rules specified under VID-010,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-011,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-011 extracted from Spec v4.3,System must enforce contract rules specified under VID-011,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-012,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-012 extracted from Spec v4.3,System must enforce contract rules specified under VID-012,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-013,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-013 extracted from Spec v4.3,System must enforce contract rules specified under VID-013,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-014,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-014 extracted from Spec v4.3,System must enforce contract rules specified under VID-014,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-015,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-015 extracted from Spec v4.3,System must enforce contract rules specified under VID-015,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-016,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-016 extracted from Spec v4.3,System must enforce contract rules specified under VID-016,src/core/autogram_core/,PARTIAL
Spec v4.3::VID-017,AUD-V43-FMT-001,Spec v4.3,v4.3,Explicit specification requirement case VID-017 extracted from Spec v4.3,System must enforce contract rules specified under VID-017,src/core/autogram_core/,PARTIAL
